NUTSID,NUTSName,Year,CDUCSU,SPD,B90GR,PDS,FDP,REP,BFB,Graue,DP,APD,STATT,PASS,BP,Forum,PBC,Natur,DSU,NPD,CM,CL,Autonome,BSo,PEAD,BSA,FAMILIE,Other,Electorate,Votes,Validvotes,Invalidvotes
DEF01,"Flensburg, Kreisfreie Stadt",1994,10616,13008,3999,243,1032,560,457,374,108,224,143,61,23,37,74,108,15,74,44,20,75,15,13,10,0,1418,69149,31592,31333,259
DEF02,"Kiel, Kreisfreie Stadt",1994,29314,34973,16315,1426,3311,1821,1581,712,679,517,1056,176,68,175,132,244,57,129,102,86,148,44,11,28,0,4364,191055,93879,93105,774
DEF03,"Lübeck, Kreisfreie Stadt",1994,29316,30966,9870,647,2388,2258,844,638,281,412,846,112,64,113,133,229,57,222,125,68,76,34,18,13,0,3441,171742,80540,79730,810
DEF04,"Neumünster, Kreisfreie Stadt",1994,10497,11292,2512,197,866,626,297,193,59,149,412,26,27,38,132,76,13,55,54,31,26,8,6,8,0,1313,64402,27949,27600,349
DEF05,Dithmarschen,1994,23748,18886,4234,179,1768,1017,506,374,131,331,244,74,33,49,56,139,43,110,59,28,74,26,12,10,0,1793,104652,52843,52131,712
DEF06,Herzogtum Lauenburg,1994,28796,22990,7934,396,3000,2032,1049,553,242,481,914,108,70,83,125,197,43,338,120,34,69,24,11,20,0,3432,131109,70504,69629,875
DEF07,Nordfriesland,1994,26353,21732,6309,233,2461,729,610,448,168,362,171,93,43,64,107,188,35,140,90,35,68,32,9,18,0,2071,122895,61105,60498,607
DEF08,Ostholstein,1994,35506,29528,7245,380,2758,1838,962,496,289,516,535,88,63,81,201,254,71,171,130,43,108,31,18,23,0,3118,154296,82552,81335,1217
DEF09,Pinneberg,1994,45194,39008,16091,850,5200,2562,1681,955,316,751,1045,175,153,132,248,317,67,210,182,64,122,50,16,26,0,4829,216310,116797,115415,1382
DEF0A,Plön,1994,21877,18801,5827,359,1899,974,796,375,212,331,280,46,46,39,71,141,29,99,72,27,62,26,9,20,0,1885,95811,53125,52418,707
DEF0B,Rendsburg-Eckernförde,1994,43557,35635,11309,575,4005,1693,1346,700,391,572,576,125,92,93,251,307,69,169,140,63,122,33,22,37,0,3762,199975,103147,101882,1265
