NUTSID,NUTSName,CDU,SPD,GRNE,CSU,DIELINKE,FDP,REP,DieTierschutzpartei,FAMILIE,dp,DIEFRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BSo,Plus,AUF,DVU,DIEGRAUEN,DIEVIOLETTEN,EDE,FBI,VOLKSENTSCHEIDE,FWFREIEWHLER,Newropeans,PIRATEN,RRP,RENTNER,Wahlberechtigte,Whler,Ungltige,Gltige
DE949,Emsland,61715,14384,5976,0,2274,8249,311,462,504,55,170,139,66,89,42,37,29,26,29,126,70,120,84,54,24,97,64,820,19,480,250,543,234392,97945,637,97308
DE94A,Friesland,10312,8992,3492,0,1122,4192,171,345,238,33,77,77,41,15,16,14,20,5,9,74,20,76,51,50,10,27,26,175,8,213,161,362,80026,30885,461,30424
DE94B,Grafschaft Bentheim,21133,9451,2896,0,960,3448,146,198,195,44,76,47,49,35,18,39,16,5,4,58,24,44,51,27,8,23,31,61,15,152,47,152,96574,39697,244,39453
DE94C,Leer,15535,14648,4163,0,1871,3709,248,421,293,97,70,110,267,72,31,42,43,7,12,82,54,143,49,41,4,41,30,291,23,275,133,276,127319,43798,717,43081
DE94D,Oldenburg,14771,10004,5090,0,1387,5894,195,426,301,56,102,107,74,21,32,19,19,8,9,92,42,127,90,47,13,39,41,285,16,344,240,326,97564,40547,330,40217
DE94E,Osnabrück,61421,26853,11308,0,3679,11010,422,708,647,114,187,213,270,89,68,67,55,17,9,128,91,228,121,100,27,56,67,335,29,630,227,451,271161,120576,949,119627
DE94F,Vechta,26276,4921,2310,0,669,4964,119,214,216,31,72,40,34,50,19,13,19,9,3,30,38,55,27,13,5,14,23,60,15,166,53,115,96864,40930,337,40593
DE94G,Wesermarsch,8580,8213,2645,0,1016,2867,136,246,170,21,67,55,16,17,18,19,14,8,4,53,12,44,52,30,11,25,19,64,14,177,113,205,71148,25189,258,24931
DE94H,Wittmund,6167,4633,1360,0,533,1672,68,183,108,17,31,35,29,6,17,4,3,4,4,41,17,50,25,20,2,9,18,60,5,82,64,165,45514,15640,208,15432
DEA11,"Düsseldorf, Stadt",59517,34690,25684,0,7515,24741,2141,1458,606,217,380,316,176,117,80,200,67,38,41,307,139,243,292,367,54,100,104,529,106,1568,414,771,414676,164170,1192,162978
DEA12,"Duisburg, Stadt",32794,40379,13008,0,8733,9643,1874,1422,842,146,406,315,148,139,66,175,50,52,44,279,117,487,261,135,50,130,124,576,72,1096,486,966,346097,116455,1440,115015
DEA13,"Essen, Stadt",53413,49217,21992,0,9638,17300,2490,1901,975,225,372,413,187,169,99,373,86,62,104,359,140,424,273,217,69,172,161,387,104,1440,509,1027,436296,166068,1770,164298
DEA14,"Krefeld, Stadt",24390,15322,8873,0,3005,8953,519,672,366,85,160,141,86,99,45,79,35,12,20,133,62,155,133,82,30,60,65,377,40,526,175,392,168200,65788,696,65092
DEA15,"Mönchengladbach, Stadt",26788,14723,7723,0,3255,11230,605,743,390,100,193,133,90,72,45,55,51,19,14,167,49,195,142,84,19,82,53,246,32,571,218,415,194657,69218,716,68502
DEA16,"Mülheim an der Ruhr, Stadt",16155,15581,6809,0,3013,6575,482,569,296,70,114,123,79,46,37,53,25,23,26,132,72,151,98,77,16,56,38,133,30,419,180,374,128461,52505,653,51852
DEA17,"Oberhausen, Stadt",15576,20161,6036,0,3850,5047,730,677,410,86,157,127,60,61,26,46,47,11,9,157,34,248,111,68,15,60,52,118,34,497,181,425,158882,55881,764,55117
DEA18,"Remscheid, Stadt",10987,7820,3383,0,1672,4396,475,315,220,55,85,55,67,48,22,18,31,7,9,72,31,98,52,39,5,32,23,60,17,261,107,232,81645,31069,375,30694
DEA19,"Solingen, Stadt",16628,11148,5789,0,2650,6642,526,499,304,121,134,91,105,53,22,54,44,10,14,91,47,155,79,55,16,41,46,332,25,411,138,319,114904,47132,543,46589
DEA1A,"Wuppertal, Stadt",30802,24275,15356,0,6179,11868,1854,1067,640,190,298,208,251,132,61,155,74,31,30,210,94,279,154,139,41,79,96,307,46,870,272,698,251519,97982,1226,96756
DEA1B,Kleve,47087,19929,8989,0,2943,12145,535,829,655,137,241,173,93,114,61,49,34,19,21,176,88,178,130,127,24,95,67,212,31,555,208,443,226898,97565,1177,96388
DEA1C,Mettmann,60834,36525,19753,0,6711,24460,1722,1626,1047,220,385,386,252,216,96,149,97,42,43,422,137,428,272,206,46,159,147,541,75,1154,498,1052,375076,161205,1504,159701
DEA1D,Rhein-Kreis Neuss,59727,27616,14942,0,4566,22386,1192,1269,884,132,322,271,134,179,74,76,92,33,35,269,136,354,219,149,40,125,119,448,74,1018,374,893,332086,139493,1345,138148
DEA1E,Viersen,41949,19369,10600,0,3734,14826,631,1074,648,112,248,215,144,95,68,56,61,14,11,190,72,237,177,127,29,94,98,331,42,738,239,572,228323,97902,1101,96801
DEA1F,Wesel,55369,47152,15977,0,7278,16487,1246,1524,1098,150,415,300,181,153,85,101,54,46,35,405,132,365,243,209,30,201,109,431,51,1072,462,996,362291,154052,1695,152357
DEA21,"Aachen, Stadt",28759,20638,16000,0,4046,9544,517,610,292,132,136,138,106,75,35,58,29,26,19,115,75,163,86,100,32,52,64,233,97,1459,158,329,176891,84821,698,84123
DEA22,"Bonn, Stadt",37028,21139,22390,0,4529,17225,614,909,357,261,285,181,198,109,54,96,77,27,37,143,126,237,106,305,78,87,75,779,123,1319,148,385,218558,110283,856,109427
DEA23,"Köln, Stadt",84404,67619,69589,0,16118,42378,2625,2640,1088,1069,869,529,345,315,147,290,139,108,63,455,252,654,537,596,151,214,281,1101,235,3005,791,1471,705314,302387,2309,300078
DEA24,"Leverkusen, Stadt",17209,11854,5922,0,2004,6175,508,502,312,86,137,109,53,51,23,28,33,8,9,111,47,151,117,53,16,32,36,138,18,371,152,404,118212,47154,485,46669
DEA25,Aachen,36207,31549,8268,0,4551,10018,1650,939,596,84,172,207,81,90,41,41,61,24,32,158,74,270,122,84,21,80,65,707,44,654,234,534,228647,99238,1580,97658
DEA26,Düren,35310,21923,7432,0,3419,9724,738,949,695,71,222,213,185,100,35,73,48,14,19,168,71,222,137,123,19,71,68,244,35,582,226,539,200266,85093,1418,83675
DEA27,Rhein-Erft-Kreis,56565,37597,17046,0,5871,21145,1325,1565,946,258,359,374,132,155,78,75,69,38,36,284,108,416,288,184,46,128,132,456,75,977,452,980,342628,149990,1830,148160
DEA28,Euskirchen,26739,11644,5897,0,2382,10330,540,720,534,96,178,183,96,108,39,36,29,11,6,120,72,143,100,153,15,67,64,602,23,394,199,440,149025,62900,940,61960
DEA29,Heinsberg,35997,16049,5779,0,2861,9627,756,893,546,69,203,184,90,95,38,27,48,19,29,149,52,186,97,86,22,73,64,204,21,479,196,465,187763,76711,1307,75404
DEA2A,Oberbergischer Kreis,36307,19393,9145,0,3387,12651,673,785,603,188,174,199,520,213,63,63,65,20,14,162,173,294,160,107,20,68,102,256,20,559,193,493,212490,88051,981,87070
DEA2B,Rheinisch-Bergischer Kreis,41606,20743,14710,0,3565,17128,696,1022,597,196,248,246,264,132,62,56,54,23,28,203,107,221,160,140,26,82,96,560,34,723,240,662,215530,105438,808,104630
DEA2C,Rhein-Sieg-Kreis,83265,39887,26593,0,6788,32654,1278,1952,979,302,451,970,429,232,105,76,119,40,30,324,209,486,315,359,99,184,183,959,104,1486,432,970,443669,204185,1925,202260
DEA31,"Bottrop, Stadt",11749,13211,3080,0,1944,3188,474,474,270,349,80,92,34,32,17,249,16,15,10,66,30,107,43,45,5,29,40,71,19,311,119,310,90966,36913,434,36479
DEA32,"Gelsenkirchen, Stadt",17939,24101,5750,0,4454,4894,1621,742,469,76,205,174,169,105,38,95,43,16,20,149,104,260,133,86,16,69,74,101,22,620,173,519,187853,64130,893,63237
DEA33,"Münster, Stadt",38536,22572,22483,0,4258,12969,395,705,363,445,214,148,90,104,55,114,49,24,22,145,86,134,95,139,37,68,71,256,71,1175,195,366,210868,107108,724,106384
